"","api00","api99","colgrad","subject","year","score"
"1",608,562,30,1,"binary99",0
"184",608,562,30,1,"binary00",0
"2",684,554,24,2,"binary99",0
"185",684,554,24,2,"binary00",1
"3",612,528,18,3,"binary99",0
"186",612,528,18,3,"binary00",0
"4",710,669,18,4,"binary99",1
"187",710,669,18,4,"binary00",1
"5",729,660,22,5,"binary99",1
"188",729,660,22,5,"binary00",1
"6",714,673,19,6,"binary99",1
"189",714,673,19,6,"binary00",1
"7",759,693,34,7,"binary99",1
"190",759,693,34,7,"binary00",1
"8",585,567,33,8,"binary99",0
"191",585,567,33,8,"binary00",0
"9",625,576,19,9,"binary99",0
"192",625,576,19,9,"binary00",0
"10",664,598,24,10,"binary99",0
"193",664,598,24,10,"binary00",1
"11",669,619,24,11,"binary99",1
"194",669,619,24,11,"binary00",1
"12",443,414,6,12,"binary99",0
"195",443,414,6,12,"binary00",0
"13",467,420,3,13,"binary99",0
"196",467,420,3,13,"binary00",0
"14",482,404,1,14,"binary99",0
"197",482,404,1,14,"binary00",0
"15",496,365,4,15,"binary99",0
"198",496,365,4,15,"binary00",0
"16",411,408,5,16,"binary99",0
"199",411,408,5,16,"binary00",0
"17",494,404,3,17,"binary99",0
"200",494,404,3,17,"binary00",0
"18",493,469,10,18,"binary99",0
"201",493,469,10,18,"binary00",0
"19",592,601,22,19,"binary99",0
"202",592,601,22,19,"binary00",0
"20",550,464,3,20,"binary99",0
"203",550,464,3,20,"binary00",0
"21",689,679,25,21,"binary99",1
"204",689,679,25,21,"binary00",1
"22",598,594,15,22,"binary99",0
"205",598,594,15,22,"binary00",0
"23",628,560,12,23,"binary99",0
"206",628,560,12,23,"binary00",0
"24",652,608,10,24,"binary99",0
"207",652,608,10,24,"binary00",1
"25",628,565,14,25,"binary99",0
"208",628,565,14,25,"binary00",0
"26",832,779,36,26,"binary99",1
"209",832,779,36,26,"binary00",1
"27",777,739,32,27,"binary99",1
"210",777,739,32,27,"binary00",1
"28",709,645,20,28,"binary99",1
"211",709,645,20,28,"binary00",1
"29",709,716,22,29,"binary99",1
"212",709,716,22,29,"binary00",1
"30",736,710,22,30,"binary99",1
"213",736,710,22,30,"binary00",1
"31",561,508,8,31,"binary99",0
"214",561,508,8,31,"binary00",0
"32",555,496,10,32,"binary99",0
"215",555,496,10,32,"binary00",0
"33",696,706,29,33,"binary99",1
"216",696,706,29,33,"binary00",1
"34",631,641,22,34,"binary99",1
"217",631,641,22,34,"binary00",0
"35",564,545,23,35,"binary99",0
"218",564,545,23,35,"binary00",0
"36",602,587,17,36,"binary99",0
"219",602,587,17,36,"binary00",0
"37",529,469,10,37,"binary99",0
"220",529,469,10,37,"binary00",0
"38",491,423,4,38,"binary99",0
"221",491,423,4,38,"binary00",0
"39",510,454,7,39,"binary99",0
"222",510,454,7,39,"binary00",0
"40",547,575,3,40,"binary99",0
"223",547,575,3,40,"binary00",0
"41",814,762,31,41,"binary99",1
"224",814,762,31,41,"binary00",1
"42",806,785,38,42,"binary99",1
"225",806,785,38,42,"binary00",1
"43",715,682,24,43,"binary99",1
"226",715,682,24,43,"binary00",1
"44",785,779,31,44,"binary99",1
"227",785,779,31,44,"binary00",1
"45",720,700,26,45,"binary99",1
"228",720,700,26,45,"binary00",1
"46",905,890,40,46,"binary99",1
"229",905,890,40,46,"binary00",1
"47",617,591,19,47,"binary99",0
"230",617,591,19,47,"binary00",0
"48",630,599,18,48,"binary99",0
"231",630,599,18,48,"binary00",0
"49",629,615,13,49,"binary99",1
"232",629,615,13,49,"binary00",0
"50",696,648,15,50,"binary99",1
"233",696,648,15,50,"binary00",1
"51",476,454,5,51,"binary99",0
"234",476,454,5,51,"binary00",0
"52",757,750,31,52,"binary99",1
"235",757,750,31,52,"binary00",1
"53",825,802,46,53,"binary99",1
"236",825,802,46,53,"binary00",1
"54",595,534,9,54,"binary99",0
"237",595,534,9,54,"binary00",0
"55",552,553,11,55,"binary99",0
"238",552,553,11,55,"binary00",0
"56",847,827,47,56,"binary99",1
"239",847,827,47,56,"binary00",1
"57",714,696,39,57,"binary99",1
"240",714,696,39,57,"binary00",1
"58",724,715,23,58,"binary99",1
"241",724,715,23,58,"binary00",1
"59",687,687,34,59,"binary99",1
"242",687,687,34,59,"binary00",1
"60",723,693,32,60,"binary99",1
"243",723,693,32,60,"binary00",1
"61",662,601,11,61,"binary99",0
"244",662,601,11,61,"binary00",1
"62",699,730,15,62,"binary99",1
"245",699,730,15,62,"binary00",1
"63",807,805,26,63,"binary99",1
"246",807,805,26,63,"binary00",1
"64",679,662,33,64,"binary99",1
"247",679,662,33,64,"binary00",1
"65",691,664,23,65,"binary99",1
"248",691,664,23,65,"binary00",1
"66",622,609,0,66,"binary99",0
"249",622,609,0,66,"binary00",0
"67",754,748,0,67,"binary99",1
"250",754,748,0,67,"binary00",1
"68",655,632,0,68,"binary99",1
"251",655,632,0,68,"binary00",1
"69",764,664,0,69,"binary99",1
"252",764,664,0,69,"binary00",1
"70",795,758,0,70,"binary99",1
"253",795,758,0,70,"binary00",1
"71",505,452,0,71,"binary99",0
"254",505,452,0,71,"binary00",0
"72",638,632,0,72,"binary99",1
"255",638,632,0,72,"binary00",0
